Source,Input Data,Gold Standard
/real_world/gdpr_text/article5.txt,Personal data shall be kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed.,Personal data shall be kept by the controller in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed.
/real_world/gdpr_text/article5.txt,"personal data may be stored for longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’).","personal data may be stored by the controller for longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’)."
/real_world/gdpr_text/article5.txt,"Personal data shall be processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).","Personal data shall be processed by the controller in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’)."
/real_world/gdpr_text/article7.txt,"If the data subject's consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language.","If the data subject's consent is given in the context of a written declaration which also concerns other matters to the controller, the request for consent shall be presented by the controller in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language."
/real_world/gdpr_text/article7.txt,The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal.,The withdrawal of consent by the data subject shall not affect the lawfulness of processing by the controller based on consent before its withdrawal.
/real_world/gdpr_text/article7.txt,"Prior to giving consent, the data subject shall be informed thereof.","Prior to giving consent, the data subject shall be informed thereof by the controller."
/real_world/gdpr_text/article7.txt,"When assessing whether consent is freely given, utmost account shall be taken of whether, inter alia, the performance of a contract, including the provision of a service, is conditional on consent to the processing of personal data that is not necessary for the performance of that contract.","When assessing whether consent is freely given by the data subject, utmost account shall be taken of whether, inter alia, the performance of a contract, including the provision of a service, is conditional on consent to the processing of personal data that is not necessary for the performance of that contract."
/real_world/gdpr_text/article10.txt,Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects.,Processing of personal data by the controller relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects.
/real_world/gdpr_text/article10.txt,Any comprehensive register of criminal convictions shall be kept only under the control of official authority.,Any comprehensive register of criminal convictions shall be kept only under the control of official authority by the controller.
/real_world/gdpr_text/article12.txt,"The information shall be provided in writing, or by other means, including, where appropriate, by electronic means.","The information shall be provided by the controller in writing, or by other means, including, where appropriate, by electronic means."
/real_world/gdpr_text/article12.txt,"When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.","When requested by the data subject, the information may be provided orally by the controller, provided that the identity of the data subject is proven by other means."
/real_world/gdpr_text/article12.txt,"That period may be extended by two further months where necessary, taking into account the complexity and number of the requests.","That period may be extended by the controller by two further months where necessary, taking into account the complexity and number of the requests."
/real_world/gdpr_text/article12.txt,"Where the data subject makes the request by electronic form means, the information shall be provided by electronic means where possible, unless otherwise requested by the data subject.","Where the data subject makes the request by electronic form means, the information shall be provided by the controller by electronic means where possible, unless otherwise requested by the data subject."
/real_world/gdpr_text/article12.txt,Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge.,Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided by the controller free of charge.
/real_world/gdpr_text/article12.txt,"The information to be provided to data subjects pursuant to Articles 13 and 14 may be provided in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing.","The information to be provided by the controller to data subjects pursuant to Articles 13 and 14 may be provided by the controller in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing."
/real_world/gdpr_text/article12.txt,Where the icons are presented electronically they shall be machine-readable.,Where the icons are presented by the controller electronically they shall be machine-readable.
/real_world/gdpr_text/article14.txt,"Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information.","Where personal data have not been obtained by the controller from the data subject, the controller shall provide the data subject with the following information."
/real_world/gdpr_text/article14.txt,The purposes of the processing for which the personal data are intended as well as the legal basis for the processing.,The purposes of the processing by the controller for which the personal data are intended as well as the legal basis for the processing.
/real_world/gdpr_text/article14.txt,"The period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period.","The period for which the personal data will be stored by the controller, or if that is not possible, the criteria used to determine that period."
/real_world/gdpr_text/article14.txt,"Where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party.","Where the processing by the controller is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party."
/real_world/gdpr_text/article14.txt,"Where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal.","Where processing by the controller is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time by the data subject, without affecting the lawfulness of processing by the controller based on consent before its withdrawal."
/real_world/gdpr_text/article14.txt,"The controller shall provide the information referred to in paragraphs 1 and 2 within a reasonable period after obtaining the personal data, but at the latest within one month, having regard to the specific circumstances in which the personal data are processed.","The controller shall provide the information referred to in paragraphs 1 and 2 within a reasonable period after obtaining the personal data, but at the latest within one month, having regard to the specific circumstances in which the personal data are processed by the controller."
/real_world/gdpr_text/article14.txt,"Paragraphs 1 to 4 shall not apply where the provision of such information proves impossible or would involve a disproportionate effort, in particular for processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in Article 89(1) or in so far as the obligation referred to in paragraph 1 of this Article is likely to render impossible or seriously impair the achievement of the objectives of that processing.","Paragraphs 1 to 4 shall not apply where  the provision of such information by the controller proves impossible or would involve a disproportionate effort, in particular for processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in Article 89(1) or in so far as the obligation referred to in paragraph 1 of this Article is likely to render impossible or seriously impair the achievement of the objectives of that processing."
/real_world/gdpr_text/article28.txt,"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller.","Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing by the processor, the nature and purpose of the processing by the processor, the type of personal data and categories of data subjects and the obligations and rights of the controller."
/real_world/gdpr_text/article28.txt,"That contract or other legal act shall stipulate, in particular, that the processor processes the personal data only on documented instructions from the controller, including with regard to transfers of personal data to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;.","That contract or other legal act shall stipulate, in particular, that the processor processes the personal data only on documented instructions from the controller, including with regard to transfers of personal data by the processor to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;."
/real_world/gdpr_text/article28.txt,Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate sufficient guarantees as referred to in paragraphs 1 and 4 of this Article.,Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used by the processor as an element by which to demonstrate sufficient guarantees as referred to in paragraphs 1 and 4 of this Article.
/real_world/gdpr_text/article32.txt,"In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to personal data transmitted, stored or otherwise processed.","In assessing the appropriate level of security by the controller and the processor account shall be taken in particular of the risks that are presented by processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to personal data transmitted, stored or otherwise processed."
/real_world/gdpr_text/article32.txt,Adherence to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate compliance with the requirements set out in paragraph 1 of this Article.,Adherence to an approved code of conduct by the controller and the processor as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate compliance with the requirements set out in paragraph 1 of this Article.
/real_world/gdpr_text/article33.txt,"The notification referred to in paragraph 1 shall at least describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned.","The notification by the the controller referred to in paragraph 1 shall at least describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned."
/real_world/gdpr_text/article33.txt,The notification referred to in paragraph 1 shall at least communicate the name and contact details of the data protection officer or other contact point where more information can be obtained.,The notification by the the controller referred to in paragraph 1 shall at least communicate the name and contact details of the data protection officer or other contact point where more information can be obtained.
/real_world/gdpr_text/article33.txt,The notification referred to in paragraph 1 shall at least describe the likely consequences of the personal data breach.,The notification by the the controller referred to in paragraph 1 shall at least describe the likely consequences of the personal data breach.
/real_world/gdpr_text/article33.txt,"The notification referred to in paragraph 1 shall at least describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.","The notification by the the controller referred to in paragraph 1 shall at least describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects."
/real_world/gdpr_text/article33.txt,"Where, and in so far as, it is not possible to provide the information at the same time, the information may be provided in phases without undue further delay.","Where, and in so far as, it is not possible to provide the information at the same time by the the controller, the information may be provided by the the controller in phases without undue further delay."
